closest_eez_boundary_sovereign,inside_eez,min_distance
CHL,FALSE,2.666476729818708
JPN,FALSE,3.748553875618153
ARG,FALSE,4.558885295952793
CAN,FALSE,6.119872562661692
RUS,FALSE,121.63458430767372
DNK,FALSE,141.374590782269
NOR,FALSE,219.1300978653366
FRA,FALSE,286.1836955035816
AUS,FALSE,299.97875911281534
USA,FALSE,305.6813503365097
MEX,FALSE,357.4186519967673
PRT,FALSE,364.3223869916496
MHL,FALSE,369.68459562635724
MUS,FALSE,379.31334113619823
MDV,FALSE,391.39964217723804
ZAF,FALSE,394.90860086800234
GBR,FALSE,407.3277133744128
AGO,FALSE,425.93454861742714
NZL,FALSE,431.63175608170326
ISL,FALSE,447.0517823797973
PNG,FALSE,449.32954600212213
PHL,FALSE,463.5330214385909
LKA,FALSE,503.52336661883294
OMN,FALSE,512.388775315609
CPV,FALSE,514.6781385652162
FSM,FALSE,538.9713720861829
TZA,FALSE,550.815384434466
IRL,FALSE,579.8607665723922
IDN,FALSE,594.9187940464625
KIR,FALSE,597.2869313906972
SLB,FALSE,599.2954800298311
BRA,FALSE,627.025627526503
IND,FALSE,635.0739938729897
MDG,FALSE,647.7214767302851
SYC,FALSE,658.552099738866
PLW,FALSE,688.4900463384272
NAM,FALSE,706.6427607363278
SUR,FALSE,718.3990377119392
DOM,FALSE,745.4299119656941
YEM,FALSE,749.281711078334
VUT,FALSE,759.130999004714
ESP,FALSE,774.9802689552951
SLE,FALSE,788.5837372321948
GNB,FALSE,826.6379174094768
GUY,FALSE,830.4185865000156
BRB,FALSE,866.1821893365758
BHS,FALSE,866.8976054455997
PER,FALSE,908.567182804189
ECU,FALSE,912.3411132571493
NRU,FALSE,917.2774855326647
COD,FALSE,923.712005515525
SLV,FALSE,964.724319540111
MRT,FALSE,973.8115263248733
ATG,FALSE,977.4090145615896
ESH,FALSE,1096.0668500036686
SOM,FALSE,1113.9214856624915
CUB,FALSE,1191.4734454132654
KEN,FALSE,1200.3729427100923
GNQ,FALSE,1220.7295269540227
MOZ,FALSE,1270.5462200862776
FJI,FALSE,1377.041120127207
URY,FALSE,1400.3652944850237
MMR,FALSE,1418.7498858039482
CRI,FALSE,1424.635327413573
MAR,FALSE,1482.5164899976792
COG,FALSE,1484.83640139785
TON,FALSE,1489.044353091919
NIC,FALSE,1494.2912800482457
GHA,FALSE,1494.670669430486
SEN,FALSE,1496.1740745878808
LBR,FALSE,1509.7503926054715
BGD,FALSE,1516.8709951285352
CIV,FALSE,1524.4817076817403
GAB,FALSE,1618.6727189429098
STP,FALSE,1650.8019223852948
GIN,FALSE,1706.495756590016
PAK,FALSE,1707.451653498714
COL,FALSE,1804.4620912189941
TGO,FALSE,1856.55344882933
NGA,FALSE,1944.343288537245
GTM,FALSE,2026.5748498702862
BEN,FALSE,2870.14898596979
GMB,FALSE,2886.681263515992
TTO,FALSE,13502.523416516166
