"L","chi","X","X_rel","E_i","E_l","E_e","H_l","index"
0,0,5113965.93525431,1,7304.99118962861,0,0,0,1
0.01,0.00386126339435577,5113965.99032433,1.00000000813727,7304.99078419737,0.00157377671208595,1.21535328185341e-09,0.000804824061471733,2
0.02,0.0405944883823395,5113966.48291707,1.00000008092389,7304.98702766959,0.0158611374185402,1.28774951733524e-07,0.0162226656842718,3
0.03,379.653289494238,5113993.29997194,1.00000404347287,7304.68633776397,0.0262084663693256,0.00199002609394272,0.0402090577163697,4
0.04,509.630435357688,5114060.32322785,1.00001394698267,7303.93639235978,0.0679346150076742,0.00692430948444359,0.138969656763984,5
0.05,639.631919072605,5114212.93222267,1.00003649684343,7302.22580900896,0.142388405380025,0.0182152337973827,0.364108956267838,6
0.06,769.673522270968,5114508.47667138,1.0000801672044,7298.90937759182,0.260847557693295,0.0401534917011156,0.800496311168429,7
0.07,899.790666197383,5115021.92483768,1.00015603562095,7293.14341434273,0.435438412470084,0.0783606838488776,1.55921554629544,8
0.08,1030.03149672009,5115847.23803319,1.0002779862162,7283.87044714783,0.679113012687983,0.139901558580219,2.77977700668812,9
0.09,1160.51739036921,5117098.85756064,1.00046292950854,7269.8028021619,1.00563740482598,0.233411939341262,4.63242316036515,10
0.1,1291.24123045987,5118913.44942716,1.00073106040492,7249.40355671315,1.42985178208613,0.369256714895225,7.32196196106668,11
0.11,1422.37229324425,5121452.08112582,1.00110618014899,7220.86297925812,1.96762161018345,0.559738092382716,11.0909152664117,12
0.12,1554.06614728065,5124903.04728763,1.00161611430386,7182.06822426348,2.63623584132686,0.819376975450802,16.2256338002662,13
0.13,1686.51927792866,5129485.62028665,1.00229326762185,7130.56336675767,3.45475362023917,1.16530171620544,23.0638269770145,14
0.14,1819.97774831786,5135455.08317764,1.00317536868317,7063.49608513657,4.44453074256601,1.61778941063696,32.0052165300602,15
0.15,1954.74625882231,5143109.51396946,1.00430647370151,6977.54617030979,5.62994961655511,2.20102459006384,43.5264921166486,16
0.16,2091.20237575132,5152798.94157213,1.00573832128413,6868.82955386355,7.03941864536067,2.94416979901727,58.2023734853135,17
0.17,2229.81259855913,5164937.69167441,1.00753215921229,6732.76965486632,8.70676137459467,3.88288924114384,76.7356280125867,18
0.18,2371.15625476448,5180020.97623472,1.0097611991264,6563.92571310007,10.6731499117774,5.06154123427001,100.000195670878,19
0.19,2515.95635448495,5198646.9880515,1.01251388571077,6355.76622883253,12.9898416092801,6.53637490812427,129.104054771959,20
0.2,2665.11966545397,5221545.70327025,1.01589815823235,6100.37744396811,15.7221051066517,8.38025830041438,165.482226380812,21
0.21,2819.78959975942,5249614.51520547,1.02004672243812,5788.11043207729,18.9548946850415,10.689762979483,211.036089242948,22
0.22,2981.42608751601,5283956.45402476,1.02512270419992,5407.22065407865,22.8009143569464,13.5958481766037,268.342016654952,23
0.23,3151.84828702843,5325902.41639866,1.03132293583276,4943.71244448159,27.4121239416886,17.2797711778844,340.964706610897,24
0.24,3333.26959739665,5376955.55854021,1.03886972463187,4382.06869114194,32.9935380923045,21.9952714867254,433.888547736363,25
0.25,3528.10306169929,5438475.5844652,1.04796414235269,3708.82214370234,39.8125661367447,28.0925672962309,553.97661613768,26
